name,vehicle_type,base_fare,cost_per_mile,cost_per_minute,capacity,luxury_fee
Kawasaki Rouser NS160,Motorcycle,0,70,0,2,0
Yamaha Mio,Motorcycle,0,50,0,2,0
Honda Click 125i,Motorcycle,0,55,0,2,0
Suzuki Raider R150,Motorcycle,0,60,0,2,0
Taxi,Taxi,40,100,5,4,0
Toyota Vios,Car,50,120,6,4,0
Honda Civic,Car,60,130,7,4,0
Mercedes-Benz E-Class,Car,100,200,15,4,50
Tesla Model 3,Electric Car,70,110,5,4,0
Nissan Leaf,Electric Car,65,105,5,4,0
Hyundai Staria,Van,80,150,10,8,0
Toyota Hiace,Van,90,160,12,10,0
