Province,City/Barangay,Street,Latitude,Longitude
Manila,Sta.Mesa,Pureza Street,14.5995,120.9842
Quezon City,Commonwealth,Don Mariano Marcos Avenue,14.6760,121.0582
Taguig,BGC,32nd Street,14.5515,121.0482
Pasig,Ortigas Center,Julia Vargas Avenue,14.5869,121.0647
Makati,Poblacion,Kalayaan Avenue,14.5663,121.0306
Caloocan,Grace Park,Carlos P. Garcia Avenue,14.6536,120.9828
Antipolo,Dela Paz,Sumulong Highway,14.6255,121.1270
San Fernando,Pampanga,McArthur Highway,15.0345,120.6892
Lucena City,Barangay 4,Quezon Avenue,13.9331,121.6170
Baguio City,Burnham Park,Session Road,16.4133,120.5903
Tarlac City,San Roque,Rizal Street,15.4802,120.5987
Batangas City,Kumintang Ibaba,P. Burgos Street,13.7586,121.0583
Naga City,Concepcion Grande,Magsaysay Avenue,13.6233,123.1851
